Time,Operator,Technology,MCC / MNC,gNB,RF Band,Num Beams,SCS,Bandwidth DL,Bandwidth UL,TDD Slot Pattern,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),SS-SINR​ (PCell),PCI / SSB​ (PCell),UE connectivity mode,BLER,Average RBs,Average MCS Index,Average Code Rate,Net PDSCH Thp​ (PCell),Num PUSCH Carrier,Num PDSCH Carrier,Retransmission,Average RBs,Average MCS Index,Net PUSCH Thp,PUSCH TxPower,PUSCH Pathloss,RSRP​ (PCell),RSRQ​ (PCell),RSSI​ (PCell),PCI​ (PCell),Bandwidth​ (PCell),eNB,RF Band​ (PCell),BLER​ (PCell),Avg RB count​ (PCell),MCS Index​ (PCell),PUSCH Thrpt​ (PCell),PDSCH Thrpt​ (PCell),Retransmission Rate​ (PCell),TxPower​ (PCell),Lat,Long,Sats used,Accuracy,IP Thrpt UL,IP Thrpt DL,SINR Rx[0]​ (PCell),Level
2025-02-05 10:24:45.628,TUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:24:45.628,TUNI,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:24:45.628,TUNI,LTE,244 / 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:24:45.628,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:24:45.628,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:24:45.628,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:24:45.628,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,43,5,440,Band 3 - 1800,,,,,,,,,,,,,,,
2025-02-05 10:24:50.324,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,-83.9,-6.4,-60.0,43,5,440,Band 3 - 1800,,,,,,,,,,,,,,7.2,
2025-02-05 10:24:50.405,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-70.0,-10.4,18.6,52/0,,,,,,,,,,,,,,,-83.9,-6.4,-60.0,43,5,440,Band 3 - 1800,,,,,,,,,,,,,,7.2,
2025-02-05 10:24:50.421,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-70.0,-10.4,18.6,52/0,,,,,,,1,,,,,,,,-83.9,-6.4,-60.0,43,5,440,Band 3 - 1800,,,,,,,,,,,,,,7.2,
