Time,Operator,Technology,MCC / MNC,gNB,RF Band​ (PCell),Num Beams,SCS​ (PCell),Bandwidth DL​ (PCell),Bandwidth UL​ (PCell),TDD Slot Pattern​ (PCell),SS-RSRP​ (PCell),SS-RSRQ​ (PCell),SS-SINR​ (PCell),PCI / SSB​ (PCell),UE connectivity mode,BLER​ (PCell),Average RBs​ (PCell),Average MCS Index​ (PCell),Average Code Rate​ (PCell),Net PDSCH Thp​ (PCell),Num PUSCH Carrier,Num PDSCH Carrier,Retransmission​ (PCell),Average RBs​ (PCell),Average MCS Index​ (PCell),Net PUSCH Thp​ (PCell),PUSCH TxPower​ (PCell),PUSCH Pathloss​ (PCell),RSRP​ (PCell),RSRQ​ (PCell),RSSI​ (PCell),PCI​ (PCell),Bandwidth​ (PCell),eNB,RF Band​ (PCell),BLER​ (PCell),Avg RB count​ (PCell),MCS Index​ (PCell),PUSCH Thrpt​ (PCell),PDSCH Thrpt​ (PCell),Retransmission Rate​ (PCell),TxPower​ (PCell),Lat,Long,Sats used,Accuracy,IP Thrpt UL,IP Thrpt DL,SINR Rx[0]​ (PCell),Level
2025-02-05 10:18:39.119,TUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:18:39.119,TUNI,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:18:39.119,TUNI,LTE,244 / 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:18:39.119,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:18:39.119,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:18:39.119,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:18:39.119,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,,
2025-02-05 10:18:43.730,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,-67.5,-7.1,-46.4,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,19.0,
2025-02-05 10:18:43.866,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,1,,,,,,,,-67.5,-7.1,-46.4,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,19.0,
2025-02-05 10:18:43.866,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,1,,2.9,3,17.0,0.235,-0.9,66.6,-67.5,-7.1,-46.4,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,19.0,
2025-02-05 10:18:43.951,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-63.4,-10.4,29.9,52/0,,,,,,,1,,2.9,3,17.0,0.235,-0.9,66.6,-67.5,-7.1,-46.4,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,19.0,
2025-02-05 10:18:44.011,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.1,-10.4,28.6,52/0,,,,,,,1,,2.9,3,17.0,0.235,-0.9,66.6,-67.5,-7.1,-46.4,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,19.0,
2025-02-05 10:18:44.021,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.1,-10.4,28.6,52/0,,,,,,,1,,2.9,3,17.0,0.235,-0.9,66.6,-66.7,-6.9,-45.9,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,20.9,
2025-02-05 10:18:44.029,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.1,-10.4,28.6,52/0,,,,,,,1,,0.0,3,17.9,0.262,1.0,69.7,-66.7,-6.9,-45.9,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,20.9,
2025-02-05 10:18:44.061,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.1,-10.4,28.6,52/0,,,,,,,1,,0.0,3,17.9,0.0,1.0,69.7,-66.7,-6.9,-45.9,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,20.9,
2025-02-05 10:18:44.067,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.1,-10.4,28.6,52/0,,,,,,,1,,0.0,3,17.9,0.0,1.0,69.7,-66.9,-6.9,-46.1,44,5,440,Band 3 - 1800,,,,,,,,,,,,,,20.2,
2025-02-05 10:18:44.501,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.1,-10.4,28.6,52/0,,,,,,,1,,0.0,3,17.9,0.0,1.0,69.7,-66.9,-6.9,-46.1,44,5,440,Band 3 - 1800,,,,,,,,,,,,0.004,,20.2,
2025-02-05 10:18:44.501,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.1,-10.4,28.6,52/0,,,,,,,1,,0.0,3,17.9,0.0,1.0,69.7,-66.9,-6.9,-46.1,44,5,440,Band 3 - 1800,,,,,,,,,,,,0.004,0.0,20.2,
2025-02-05 10:18:44.505,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-58.7,-10.4,30.8,52/0,,,,,,,1,,0.0,3,17.9,0.0,1.0,69.7,-66.9,-6.9,-46.1,44,5,440,Band 3 - 1800,,,,,,,,,,,,0.004,0.0,20.2,
